ID,2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Sector,VHAL - Central Access,#,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,,,4
Subsector,Gateway Hub,#,,,,,,,,,,,#,#,,o,,,,,o,,4
,,1,,,o,,o,,o,,o,,#,#,,,,,,,,,4
Music,01-galactic-agent,1,,,,,,,,,,,#,#,#,#,#,,,#,#,#,#
Upgrades,D,1,p1,,,,,,,,,,#,#,,,,,,,,,#
,,#,#,#,#,#,#,#,#,b,b,b,#,#,,o,,,,,o,,#
,,#,#,#,#,#,#,#,b,b,b,b,b,#,,,,#,#,,,,#
,,#,,,,,,#,b,b,b,b,b,#,,o,,,,,o,,#
,,#,,,,,,#,b,#,#,#,b,#,,,,,,,,,#
,,#,,D,,,,#,b,b,b,b,b,#,#,#,#,,,#,#,#,#
,,#,#,#,,,,#,b,b,b,b,b,#,,,,,,,,,#
,,#,,,,,,#,#,,,,#,#,,,,,,,,,3
,,#,,o,,o,,,,,o,,,,,o,,#,#,,,,3
,,#,,,,,,,,,,,,,,,,#,#,,,,3
,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
